"article_id","article_version","last_updated","icd10_pcs_code_group","paragraph"
"53024","22","2024-03-13 14:59:57.890000000","1",""
"53026","65","2025-12-22 16:12:03.700000000","1",""
"53032","138","2025-12-23 17:51:01.410000000","1",""
"53033","132","2025-12-23 18:08:21.697000000","1",""
"53043","14","2023-01-10 20:02:43.080000000","1",""
"53046","21","2023-12-20 12:47:29.110000000","1",""
"53047","17","2021-12-29 16:33:30.130000000","1",""
"53052","48","2025-08-19 18:16:46.940000000","1",""
"53053","14","2022-05-12 13:18:15.260000000","1",""
"53056","15","2024-11-27 17:20:58.910000000","1",""
"53057","63","2025-08-14 15:04:13.363000000","1",""
"53058","61","2025-08-14 17:50:12.947000000","1",""
"53060","48","2025-08-14 12:47:20.913000000","1",""
"53064","83","2025-08-22 18:48:10.510000000","1",""
"53065","72","2025-08-25 12:43:45.523000000","1",""
"53066","95","2026-01-20 13:10:21.820000000","1",""
"53084","28","2023-11-14 16:35:25.503000000","1",""
"53095","28","2024-09-05 14:24:29.030000000","1",""
"53101","46","2024-08-29 13:10:24.493000000","1",""
"53104","32","2022-01-18 13:18:14.220000000","1",""
"53127","187","2026-01-23 13:37:24.737000000","1",""
"53134","84","2023-11-22 12:43:03.747000000","1",""
"53296","22","2025-10-06 12:11:07.350000000","1",""
"53304","16","2023-11-14 16:25:55.627000000","1",""
"53322","16","2023-11-16 19:22:42.953000000","1",""
"53352","13","2023-11-14 16:30:14.253000000","1",""
"53356","14","2023-11-16 19:28:44.473000000","1",""
"53359","35","2024-11-08 17:02:36.930000000","1",""
"53387","33","2025-09-17 19:24:15.427000000","1",""
"53435","11","2023-01-11 18:34:32.500000000","1",""
"53444","14","2023-01-10 20:56:52.953000000","1",""
"53495","11","2024-11-12 14:59:57.413000000","1",""
"53497","15","2023-01-11 13:47:04.500000000","1",""
"53531","22","2024-09-09 13:22:00.840000000","1",""
"53558","29","2022-01-18 12:58:03.973000000","1",""
"53605","21","2021-07-08 12:10:04.623000000","1",""
"53773","20","2024-01-12 15:56:27.980000000","1",""
"53775","34","2025-01-07 15:40:50.573000000","1",""
"53781","17","2024-01-11 16:38:49.787000000","1",""
"53793","35","2025-12-08 14:50:57.773000000","1",""
"53883","26","2024-03-01 14:33:37.503000000","1",""
"53893","11","2025-09-11 23:12:00.227000000","1",""
"53916","12","2023-11-08 18:55:41.147000000","1",""
"53931","6","2024-11-07 19:04:06.843000000","1",""
"53972","10","2023-11-08 19:00:24.170000000","1",""
"53986","18","2024-12-04 18:18:01.283000000","1",""
"53988","20","2024-12-04 17:54:48.153000000","1",""
"54018","33","2023-07-21 17:08:27.567000000","1",""
"54021","26","2024-05-24 15:25:57.877000000","1",""
"54061","23","2025-12-22 15:12:01.600000000","1",""
"54095","68","2025-09-26 17:04:56.287000000","1",""
"54111","50","2025-09-26 17:14:53.837000000","1",""
"54117","88","2026-01-23 13:39:50.980000000","1",""
"54188","33","2024-08-28 20:13:46.587000000","1",""
