"article_id","article_version","related_num","source_article_id","last_updated"
"52711","18","2","52678","2016-05-24 14:02:49.233000000"
"52711","18","3","52680","2016-05-24 14:03:07.487000000"
"52711","18","4","52676","2016-05-24 14:03:22.447000000"
"52712","18","1","52669","2016-05-24 14:04:09.437000000"
"52712","18","2","52679","2016-05-24 14:04:37.890000000"
"52712","18","3","52682","2016-05-24 14:04:59.997000000"
"52712","18","4","52677","2016-05-24 14:11:25"
"52712","21","1","52669","2016-05-24 14:04:09.437000000"
"52712","21","2","52679","2016-05-24 14:04:37.890000000"
"52712","21","3","52682","2016-05-24 14:04:59.997000000"
"52712","21","4","52677","2016-05-24 14:11:25"
"52713","16","1","48072","2016-05-24 17:56:27.847000000"
"52713","16","2","48139","2016-05-24 17:56:44.337000000"
"52713","16","3","48018","2016-05-24 17:56:59.920000000"
"52713","16","4","48010","2016-05-24 17:57:22.573000000"
"52754","4","1","48802","2014-03-31 15:31:29.467000000"
"52759","2","1","47280","2014-03-31 15:31:35.090000000"
"52759","4","1","47280","2014-07-09 16:44:18"
"52772","2","1","51665","2014-03-31 15:40:26.387000000"
"52772","4","1","51665","2014-07-09 16:46:42"
"52776","7","1","52047","2014-07-22 02:20:57"
"52840","2","1","49286","2014-04-02 15:09:53.433000000"
"52841","2","1","45910","2014-04-02 15:09:56.217000000"
"52841","3","1","45910","2014-04-02 15:09:56.217000000"
"52917","2","1","50366","2014-03-31 15:31:32.590000000"
"52918","2","1","47265","2014-03-31 15:23:35.623000000"
"52926","9","1","51499","2014-03-31 15:40:24.920000000"
"52926","11","1","51499","2014-03-31 15:40:24.920000000"
"52959","7","1","52043","2014-03-31 15:37:36.250000000"
"52959","8","1","52043","2014-03-31 15:37:36.250000000"
"52960","7","1","50624","2014-07-18 20:43:19"
"52960","8","1","50624","2014-07-18 20:43:19"
"52960","11","1","50624","2014-07-18 20:43:19"
"53018","9","1","51789","2015-07-31 19:35:54.113000000"
"53019","9","1","52210","2014-04-02 15:09:57.903000000"
"53019","11","1","52210","2014-04-02 15:09:57.903000000"
"53020","2","1","47521","2014-04-02 15:09:58.247000000"
"53034","2","1","50137","2014-03-31 15:40:24.263000000"
"53034","5","1","50137","2014-03-31 15:40:24.263000000"
"53055","13","1","50489","2016-03-30 12:44:37.113000000"
"53106","16","1","51724","2016-04-15 16:30:44.030000000"
"53356","6","1","50624","2014-07-18 20:41:03"
"53356","9","1","50624","2014-07-18 20:41:03"
"53446","6","1","53445","2015-11-17 19:19:15.233000000"
"53848","2","1","53189","2014-10-20 15:45:49"
"53848","3","1","53189","2014-10-20 15:45:49"
"53893","2","1","53891","2014-11-13 15:15:03"
"53893","6","1","53891","2014-11-13 15:15:03"
"53972","4","1","53966","2015-01-09 16:57:26"
"53975","4","1","53969","2015-01-09 17:03:00"
"54061","12","1","53755","2016-03-08 00:37:25.753000000"
"54063","8","1","53751","2016-03-09 00:27:55.730000000"
