state_id,region_id
1,10
2,4
3,6
4,9
5,9
6,9
8,8
9,1
10,3
11,3
12,4
14,4
15,9
16,9
17,7
18,10
19,5
20,5
21,7
22,4
23,6
24,1
25,3
26,1
27,5
28,5
29,7
31,4
32,8
34,4
35,8
36,7
37,1
38,2
39,6
40,9
41,2
42,5
43,6
44,10
45,3
46,2
47,1
48,4
49,8
50,4
51,6
52,8
53,3
54,2
55,1
56,10
57,5
58,3
59,8
60,9
61,7
62,7
63,2
64,2
65,2
66,9
67,9
