lcd_id,lcd_version,state_id,last_updated
33942,49,8,2025-07-29 15:46:48.353000000
33942,49,10,2025-07-29 15:46:48.353000000
33942,49,11,2025-07-29 15:46:48.353000000
33942,49,17,2025-07-29 15:46:48.353000000
33942,49,21,2025-07-29 15:46:48.353000000
33942,49,25,2025-07-29 15:46:48.353000000
33942,49,29,2025-07-29 15:46:48.353000000
33942,49,32,2025-07-29 15:46:48.353000000
33942,49,35,2025-07-29 15:46:48.353000000
33942,49,36,2025-07-29 15:46:48.353000000
33942,49,45,2025-07-29 15:46:48.353000000
33942,49,49,2025-07-29 15:46:48.353000000
33942,49,52,2025-07-29 15:46:48.353000000
33942,49,53,2025-07-29 15:46:48.353000000
33942,49,58,2025-07-29 15:46:48.353000000
33942,49,59,2025-07-29 15:46:48.353000000
34538,20,8,2025-07-29 15:30:30.653000000
34538,20,10,2025-07-29 15:30:30.653000000
34538,20,11,2025-07-29 15:30:30.653000000
34538,20,17,2025-07-29 15:30:30.653000000
34538,20,21,2025-07-29 15:30:30.653000000
34538,20,25,2025-07-29 15:30:30.653000000
34538,20,29,2025-07-29 15:30:30.653000000
34538,20,32,2025-07-29 15:30:30.653000000
34538,20,35,2025-07-29 15:30:30.653000000
34538,20,36,2025-07-29 15:30:30.653000000
34538,20,45,2025-07-29 15:30:30.653000000
34538,20,49,2025-07-29 15:30:30.653000000
34538,20,52,2025-07-29 15:30:30.653000000
34538,20,53,2025-07-29 15:30:30.653000000
34538,20,58,2025-07-29 15:30:30.653000000
34538,20,59,2025-07-29 15:30:30.653000000
34544,47,2,2024-07-23 15:47:04.930000000
34544,47,3,2024-07-23 15:47:04.930000000
34544,47,12,2024-07-23 15:47:04.930000000
34544,47,14,2024-07-23 15:47:04.930000000
34544,47,19,2024-07-23 15:47:04.930000000
34544,47,20,2024-07-23 15:47:04.930000000
34544,47,22,2024-07-23 15:47:04.930000000
34544,47,23,2024-07-23 15:47:04.930000000
34544,47,31,2024-07-23 15:47:04.930000000
34544,47,34,2024-07-23 15:47:04.930000000
34544,47,39,2024-07-23 15:47:04.930000000
34544,47,42,2024-07-23 15:47:04.930000000
34544,47,43,2024-07-23 15:47:04.930000000
34544,47,48,2024-07-23 15:47:04.930000000
34544,47,50,2024-07-23 15:47:04.930000000
34544,47,51,2024-07-23 15:47:04.930000000
34547,40,2,2024-11-06 19:24:38.180000000
34547,40,3,2024-11-06 19:24:38.180000000
34547,40,12,2024-11-06 19:24:38.180000000
34547,40,14,2024-11-06 19:24:38.180000000
34547,40,19,2024-11-06 19:24:38.180000000
34547,40,20,2024-11-06 19:24:38.180000000
34547,40,22,2024-11-06 19:24:38.180000000
34547,40,23,2024-11-06 19:24:38.180000000
34547,40,31,2024-11-06 19:24:38.180000000
34547,40,34,2024-11-06 19:24:38.180000000
34547,40,39,2024-11-06 19:24:38.180000000
34547,40,42,2024-11-06 19:24:38.180000000
34547,40,43,2024-11-06 19:24:38.180000000
34547,40,48,2024-11-06 19:24:38.180000000
34547,40,50,2024-11-06 19:24:38.180000000
34547,40,51,2024-11-06 19:24:38.180000000
34548,43,2,2024-03-11 13:41:15.383000000
34548,43,3,2024-03-11 13:41:15.383000000
34548,43,12,2024-03-11 13:41:15.383000000
34548,43,14,2024-03-11 13:41:15.383000000
34548,43,19,2024-03-11 13:41:15.383000000
34548,43,20,2024-03-11 13:41:15.383000000
34548,43,22,2024-03-11 13:41:15.383000000
34548,43,23,2024-03-11 13:41:15.383000000
34548,43,31,2024-03-11 13:41:15.383000000
34548,43,34,2024-03-11 13:41:15.383000000
34548,43,39,2024-03-11 13:41:15.383000000
34548,43,42,2024-03-11 13:41:15.383000000
34548,43,43,2024-03-11 13:41:15.383000000
34548,43,48,2024-03-11 13:41:15.383000000
34548,43,50,2024-03-11 13:41:15.383000000
34548,43,51,2024-03-11 13:41:15.383000000
34558,40,2,2023-12-29 17:59:04.383000000
34558,40,3,2023-12-29 17:59:04.383000000
34558,40,12,2023-12-29 17:59:04.383000000
34558,40,14,2023-12-29 17:59:04.383000000
34558,40,19,2023-12-29 17:59:04.383000000
34558,40,20,2023-12-29 17:59:04.383000000
34558,40,22,2023-12-29 17:59:04.383000000
34558,40,23,2023-12-29 17:59:04.383000000
34558,40,31,2023-12-29 17:59:04.383000000
34558,40,34,2023-12-29 17:59:04.383000000
34558,40,39,2023-12-29 17:59:04.383000000
34558,40,42,2023-12-29 17:59:04.383000000
34558,40,43,2023-12-29 17:59:04.383000000
34558,40,48,2023-12-29 17:59:04.383000000
34558,40,50,2023-12-29 17:59:04.383000000
34558,40,51,2023-12-29 17:59:04.383000000
34559,43,2,2024-11-13 14:22:41.743000000
34559,43,3,2024-11-13 14:22:41.743000000
34559,43,12,2024-11-13 14:22:41.743000000
34559,43,14,2024-11-13 14:22:41.743000000
34559,43,19,2024-11-13 14:22:41.743000000
34559,43,20,2024-11-13 14:22:41.743000000
34559,43,22,2024-11-13 14:22:41.743000000
34559,43,23,2024-11-13 14:22:41.743000000
34559,43,31,2024-11-13 14:22:41.743000000
34559,43,34,2024-11-13 14:22:41.743000000
34559,43,39,2024-11-13 14:22:41.743000000
34559,43,42,2024-11-13 14:22:41.743000000
34559,43,43,2024-11-13 14:22:41.743000000
34559,43,48,2024-11-13 14:22:41.743000000
34559,43,50,2024-11-13 14:22:41.743000000
34559,43,51,2024-11-13 14:22:41.743000000
34560,76,2,2022-06-03 23:05:09.523000000
34560,76,3,2022-06-03 23:05:09.523000000
34560,76,12,2022-06-03 23:05:09.523000000
34560,76,14,2022-06-03 23:05:09.523000000
34560,76,19,2022-06-03 23:05:09.523000000
34560,76,20,2022-06-03 23:05:09.523000000
34560,76,22,2022-06-03 23:05:09.523000000
34560,76,23,2022-06-03 23:05:09.523000000
34560,76,31,2022-06-03 23:05:09.523000000
34560,76,34,2022-06-03 23:05:09.523000000
34560,76,39,2022-06-03 23:05:09.523000000
34560,76,42,2022-06-03 23:05:09.523000000
34560,76,43,2022-06-03 23:05:09.523000000
34560,76,48,2022-06-03 23:05:09.523000000
34560,76,50,2022-06-03 23:05:09.523000000
34560,76,51,2022-06-03 23:05:09.523000000
34561,69,2,2023-11-03 16:02:26.037000000
34561,69,3,2023-11-03 16:02:26.037000000
34561,69,12,2023-11-03 16:02:26.037000000
34561,69,14,2023-11-03 16:02:26.037000000
34561,69,19,2023-11-03 16:02:26.037000000
34561,69,20,2023-11-03 16:02:26.037000000
34561,69,22,2023-11-03 16:02:26.037000000
34561,69,23,2023-11-03 16:02:26.037000000
34561,69,31,2023-11-03 16:02:26.037000000
34561,69,34,2023-11-03 16:02:26.037000000
34561,69,39,2023-11-03 16:02:26.037000000
34561,69,42,2023-11-03 16:02:26.037000000
34561,69,43,2023-11-03 16:02:26.037000000
34561,69,48,2023-11-03 16:02:26.037000000
34561,69,50,2023-11-03 16:02:26.037000000
34561,69,51,2023-11-03 16:02:26.037000000
34562,45,2,2025-07-28 14:12:06.243000000
34562,45,3,2025-07-28 14:12:06.243000000
34562,45,12,2025-07-28 14:12:06.243000000
34562,45,14,2025-07-28 14:12:06.243000000
34562,45,19,2025-07-28 14:12:06.243000000
34562,45,20,2025-07-28 14:12:06.243000000
34562,45,22,2025-07-28 14:12:06.243000000
34562,45,23,2025-07-28 14:12:06.243000000
34562,45,31,2025-07-28 14:12:06.243000000
34562,45,34,2025-07-28 14:12:06.243000000
34562,45,39,2025-07-28 14:12:06.243000000
34562,45,42,2025-07-28 14:12:06.243000000
34562,45,43,2025-07-28 14:12:06.243000000
34562,45,48,2025-07-28 14:12:06.243000000
34562,45,50,2025-07-28 14:12:06.243000000
34562,45,51,2025-07-28 14:12:06.243000000
34563,51,2,2023-05-01 14:03:09.140000000
34563,51,3,2023-05-01 14:03:09.140000000
34563,51,12,2023-05-01 14:03:09.140000000
34563,51,14,2023-05-01 14:03:09.140000000
34563,51,19,2023-05-01 14:03:09.140000000
34563,51,20,2023-05-01 14:03:09.140000000
34563,51,22,2023-05-01 14:03:09.140000000
34563,51,23,2023-05-01 14:03:09.140000000
34563,51,31,2023-05-01 14:03:09.140000000
34563,51,34,2023-05-01 14:03:09.140000000
34563,51,39,2023-05-01 14:03:09.140000000
34563,51,42,2023-05-01 14:03:09.140000000
34563,51,43,2023-05-01 14:03:09.140000000
34563,51,48,2023-05-01 14:03:09.140000000
